,FIRST,LAST,NICKNAME,HT,WT,REACH,STANCE,W,L,D,BELT
307,Maximo,Blanco,Maxi,"5' 8""",145 lbs.,"71.0""",Orthodox,12,8,1,
308,David,Blanco,,"5' 7""",145 lbs.,--,,2,0,0,
309,Curtis,Blaydes,Razor,"6' 4""",265 lbs.,"80.0""",Orthodox,15,3,0,
310,Arlene,Blencowe,Angerfist,"5' 5""",145 lbs.,--,,9,6,0,
311,Byron,Bloodworth,,"5' 8""",135 lbs.,--,Orthodox,6,3,0,
312,Dashawn,Boatwright,"Buck, the 400-pound Silverback","6' 0""",205 lbs.,--,Orthodox,3,1,0,
313,Dan,Bobish,,"6' 2""",345 lbs.,--,Southpaw,17,9,0,
314,Mark,Bocek,,"5' 8""",155 lbs.,"75.0""",Orthodox,12,5,0,
315,Kyle,Bochniak,Killer B,"5' 7""",145 lbs.,"70.0""",Orthodox,8,5,0,
316,James,Bochnovic,,"6' 4""",205 lbs.,"81.0""",Orthodox,8,3,0,
317,Jeremy,Boczulak,,--,--,--,,0,2,0,
318,Tim,Boetsch,The Barbarian,"6' 0""",185 lbs.,"74.0""",Orthodox,21,13,0,
319,Galore,Bofando,,"5' 11""",170 lbs.,"72.0""",Switch,5,3,0,
320,Jay,Bogan,,--,145 lbs.,--,,6,6,0,
321,Roman,Bogatov,,"5' 8""",155 lbs.,"73.0""",Orthodox,10,1,0,
322,Derek,Bohi,Marshmallow,"6' 4""",260 lbs.,--,,8,5,0,
323,Jerry,Bohlander,,"5' 11""",199 lbs.,--,Orthodox,11,4,0,
324,Mandy,Bohm,Monster,"5' 7""",125 lbs.,"71.0""",Orthodox,7,1,0,
325,Kotetsu,Boku,,"5' 9""",154 lbs.,--,Orthodox,25,11,2,
326,Kyle,Bolt,,"6' 2""",185 lbs.,--,,8,4,0,
327,Denys,Bondar,Psycho,"5' 6""",125 lbs.,--,Orthodox,12,1,0,
328,Luc,Bondole,,"6' 2""",205 lbs.,--,,5,2,2,
329,Tony,Bonello,The Gun,"6' 2""",185 lbs.,--,,16,3,1,
330,Jesse,Bongfeldt,Water,"6' 0""",185 lbs.,--,Orthodox,16,5,1,
331,Marcos,Bonilla,Murder Marx,"5' 10""",145 lbs.,--,,4,4,0,
332,Stephan,Bonnar,The American Psycho,"6' 4""",205 lbs.,"79.0""",Orthodox,15,9,0,
333,Rogerio,Bontorin,,"5' 5""",125 lbs.,"67.0""",Orthodox,17,3,0,
334,Ray,Borg,The Tazmexican Devil,"5' 4""",135 lbs.,"63.0""",Orthodox,13,5,0,
335,Igor,Borisov,,"6' 0""",235 lbs.,--,Orthodox,1,1,0,
336,Calen,Born,,"5' 8""",170 lbs.,"72.0""",Switch,7,1,0,
337,Caio,Borralho,The Natural,"5' 10""",205 lbs.,"75.0""",Southpaw,9,1,0,
338,Viacheslav,Borshchev,Slava Claus,"5' 11""",155 lbs.,"72.0""",Orthodox,4,1,0,
339,Tanner,Boser,The Bulldozer,"6' 2""",255 lbs.,"75.0""",Orthodox,20,8,1,
340,Steve,Bosse,The Boss,"5' 11""",205 lbs.,"72.0""",Orthodox,12,2,0,
341,Marcus,Bossett,The Grasshopper,"6' 1""",215 lbs.,--,Orthodox,1,3,0,
342,Chris,Bostick,,--,--,--,,6,3,0,
343,Poliana,Botelho,,"5' 8""",115 lbs.,"67.0""",Orthodox,8,4,0,
344,Francois,Botha,White Buffalo,"6' 2""",260 lbs.,--,Orthodox,0,1,0,
345,Gregory,Bouchelaghem,,"6' 2""",183 lbs.,--,Switch,5,4,0,
346,Roy,Boughton,Black Dynamite,"6' 0""",205 lbs.,--,,14,8,0,
347,Rich,Bouphanouvong,,"5' 7""",170 lbs.,--,,1,4,0,
348,Mike,Bourke,The Rhino,"6' 0""",275 lbs.,--,Orthodox,10,16,1,
349,Jess,Bouscal,,--,155 lbs.,--,,3,2,0,
350,Tai,Bowden,,"5' 11""",230 lbs.,--,,1,1,0,
351,Melton,Bowen,The Punisher,"6' 0""",225 lbs.,--,Orthodox,0,1,0,
352,Kyron,Bowen,Bullseye,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,
353,Brian,Bowles,,"5' 7""",135 lbs.,"70.0""",Orthodox,10,3,0,
354,Roger,Bowling,Relentless,"5' 9""",155 lbs.,"68.0""",Orthodox,12,6,0,
355,Blake,Bowman,,"6' 2""",170 lbs.,--,,2,6,0,
356,Ashe,Bowman,The Archer,"5' 9""",155 lbs.,--,,9,11,0,
357,Colley,Bradford,,"5' 7""",145 lbs.,--,,0,1,0,
358,Kyle,Bradley,,"5' 9""",155 lbs.,"71.0""",Orthodox,19,12,0,
359,Paul,Bradley,The Gentleman,"5' 9""",170 lbs.,--,Orthodox,23,8,0,
360,Sean,Brady,,"5' 10""",170 lbs.,"72.0""",Orthodox,14,0,0,
361,Ebenezer Fontes,Braga,Pitbull,"6' 0""",199 lbs.,--,Orthodox,13,7,2,
362,Ramiz,Brahimaj,,"5' 10""",170 lbs.,"72.0""",Orthodox,9,3,0,
363,Joe,Brammer,The South Side Strangler,"5' 8""",155 lbs.,--,Orthodox,7,3,1,
364,David,Branch,,"6' 1""",185 lbs.,"78.0""",Orthodox,22,6,0,
365,Diego,Brandao,DB,"5' 7""",145 lbs.,"64.0""",Orthodox,22,11,0,
366,Michael,Bravo,,--,155 lbs.,--,,7,4,0,
367,Martin,Bravo,El Toro,"5' 8""",145 lbs.,"71.0""",Southpaw,11,3,0,
368,Mike,Breeden,Money,"5' 10""",155 lbs.,"70.0""",Orthodox,10,4,0,
369,Tom,Breese,,"6' 3""",185 lbs.,"73.0""",Southpaw,12,3,0,
370,Chris,Brennan,The Westside Strangler,"5' 8""",170 lbs.,--,Orthodox,21,13,1,
371,Charlie,Brenneman,The Spaniard,"5' 10""",155 lbs.,"70.0""",Orthodox,19,8,0,
372,Robert,Breslin,The Bullet,"5' 11""",155 lbs.,--,,3,9,0,
373,Mack,Brewer,,--,205 lbs.,--,,0,1,0,
374,Marcos,Brigagao,Ironside,"6' 3""",205 lbs.,"76.0""",Southpaw,11,1,0,
375,Jason,Brilz,Hitman,"5' 11""",205 lbs.,"71.0""",Orthodox,22,6,1,
376,Marcus,Brimage,The Bama Beast,"5' 4""",135 lbs.,"71.0""",Southpaw,7,7,0,
377,Aaron,Brink,,"6' 3""",205 lbs.,--,Orthodox,26,26,0,
378,Henry,Briones,Bure,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,1,
379,Marcelo,Brito,Jungle Boy,"6' 1""",170 lbs.,--,Orthodox,13,8,0,
380,Joanderson,Brito,Tubarao,"5' 8""",145 lbs.,"72.0""",Orthodox,12,2,1,
381,Antwain,Britt,The Juggernaut,"6' 1""",205 lbs.,"77.0""",,11,6,0,
382,Drew,Brokenshire,,--,--,--,,16,6,0,
383,Mike,Bronzoulis,The Greek,"6' 0""",155 lbs.,--,,18,9,1,
384,Jonathan,Brookins,,"6' 0""",145 lbs.,"74.0""",Southpaw,16,10,0,
385,Will,Brooks,Ill,"5' 10""",155 lbs.,"72.0""",Orthodox,18,4,0,
386,Jarred,Brooks,The Monkey God,"5' 3""",125 lbs.,"62.0""",Switch,13,2,0,
387,Rob,Broughton,The Bear,"6' 2""",265 lbs.,"74.0""",Orthodox,16,7,1,
388,Lee,Brousseau,Manimal,"6' 1""",205 lbs.,--,,5,3,0,
389,Matt,Brown,The Immortal,"6' 0""",170 lbs.,"75.0""",Orthodox,25,18,0,
390,Mike,Brown,,"5' 6""",145 lbs.,"70.0""",Orthodox,26,9,0,
391,Dominic,Brown,,"5' 11""",190 lbs.,--,,16,23,0,
392,Todd,Brown,Bulldog,"5' 11""",205 lbs.,--,Orthodox,16,4,0,
393,Terrell,Brown,,--,185 lbs.,--,,3,1,0,
394,Chris,Brown,,--,170 lbs.,--,,10,1,0,
395,Frederick,Brown,,"6' 0""",235 lbs.,--,,3,2,0,
396,Randy,Brown,Rudeboy,"6' 3""",170 lbs.,"78.0""",Orthodox,13,4,0,
397,Damien,Brown,Beatdown,"5' 10""",155 lbs.,"68.0""",Orthodox,17,12,0,
398,TJ,Brown,Downtown,"5' 9""",145 lbs.,"72.0""",Switch,15,8,0,
399,Humberto,Brown Morrison,,"5' 10""",145 lbs.,--,,4,6,0,
400,Travis,Browne,Hapa,"6' 6""",255 lbs.,"79.0""",Orthodox,18,7,1,
401,Junie,Browning,,"5' 9""",155 lbs.,--,Orthodox,5,6,0,
402,Jules,Bruchez,,"6' 0""",205 lbs.,--,Southpaw,1,2,0,
403,Justin,Bruckmann,Loaf,"5' 9""",170 lbs.,--,Orthodox,7,3,0,
404,Cody,Brundage,,"6' 0""",185 lbs.,"72.0""",Orthodox,5,2,0,
405,Steve,Bruno,Hollywood,"5' 10""",170 lbs.,--,Orthodox,15,6,0,
406,Fernando,Bruno,Acougueiro,"5' 6""",145 lbs.,--,,15,4,0,
407,Derek,Brunson,,"6' 1""",185 lbs.,"77.0""",Southpaw,23,7,0,
408,Josh,Bryant,The Beast,"5' 10""",185 lbs.,--,Orthodox,15,4,0,
409,Dennis,Bryant,The Beard,"6' 0""",205 lbs.,--,Orthodox,5,2,0,
410,Lukasz,Brzeski,The Bull,"6' 4""",236 lbs.,"78.0""",Orthodox,9,1,1,
411,Justin,Buchholz,,"6' 0""",155 lbs.,"73.0""",Orthodox,15,10,0,
412,Zak,Bucia,,"5' 10""",170 lbs.,--,,17,8,0,
413,Courtney,Buck,,"5' 10""",135 lbs.,--,Orthodox,12,11,0,
414,Joaquin,Buckley,New Mansa,"5' 10""",185 lbs.,"76.0""",Southpaw,13,4,0,
415,Martin,Buday,Badys,"6' 3""",265 lbs.,--,Orthodox,8,1,0,
416,Julia,Budd,,"5' 7""",145 lbs.,"67.0""",,10,2,0,
417,Mike,Budnik,,"5' 9""",145 lbs.,"68.0""",Orthodox,13,4,0,
418,Francisco,Bueno,,"5' 9""",225 lbs.,--,Orthodox,5,2,0,
419,Mayra,Bueno Silva,Sheetara,"5' 6""",125 lbs.,"66.0""",Orthodox,7,1,1,
420,Paul,Buentello,The Headhunter,"6' 2""",245 lbs.,"77.0""",Orthodox,35,17,0,
421,Modestas,Bukauskas,The Baltic Gladiator,"6' 3""",205 lbs.,"78.0""",Switch,11,5,0,
422,Lee Kwan,Bum,,"6' 2""",286 lbs.,--,Orthodox,0,1,0,
423,Josh,Bumgarner,,"6' 1""",170 lbs.,--,,6,4,0,
424,Shawn,Bunch,Bunch the Great,"5' 5""",135 lbs.,--,,7,3,0,
425,Wuliji,Buren,Beast Master,"5' 9""",135 lbs.,"69.0""",Orthodox,9,6,0,
426,Shane,Burgos,Hurricane,"5' 11""",145 lbs.,"75.0""",Orthodox,13,3,0,
427,Joshua,Burkman,The People's Warrior,"5' 10""",170 lbs.,"72.0""",Orthodox,28,16,0,
428,Justin,Burlinson,,"6' 1""",170 lbs.,--,,6,0,0,
429,Mads,Burnell,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,3,0,
430,Mikey,Burnett,The Eastside Assassin,"5' 6""",170 lbs.,--,Orthodox,5,2,0,
431,Kevin,Burns,The Fire,"5' 10""",170 lbs.,"74.0""",Orthodox,12,7,0,
432,Gilbert,Burns,Durinho,"5' 10""",170 lbs.,"71.0""",Orthodox,20,4,0,
433,Josh,Burns,The Hammer,"6' 1""",244 lbs.,--,,8,10,0,
434,Herbert,Burns,The Blaze,"5' 9""",145 lbs.,"73.0""",Orthodox,11,3,0,
435,Derrick,Burnsed,,--,155 lbs.,--,,1,0,3,
436,Nah-Shon,Burrell,The Rock n Rolla,"5' 11""",170 lbs.,--,Orthodox,15,7,0,
437,Martin,Buschkamp,,"5' 9""",145 lbs.,--,Orthodox,9,0,0,
438,George,Bush,,"6' 1""",205 lbs.,--,,5,2,0,
439,Bubba,Bush,The Fightin' Texas Aggie,"6' 0""",185 lbs.,--,Orthodox,8,3,0,
440,Dakota,Bush,,"5' 10""",155 lbs.,"73.0""",Orthodox,8,3,0,
441,Murilo,Bustamante,,"6' 2""",183 lbs.,--,Orthodox,15,8,1,
442,Nick,Bustamante,,"5' 9""",170 lbs.,--,,5,3,0,
443,Eduardo,Bustillos,,"5' 8""",135 lbs.,--,,5,3,0,
444,Jason,Butcher,,"6' 3""",185 lbs.,--,,10,2,0,
445,Todd,Butler,,"6' 1""",200 lbs.,--,Southpaw,1,4,0,
446,Goldman,Butler,,--,--,--,,1,4,0,
447,Ian,Butler,,"5' 8""",155 lbs.,--,,3,3,0,
448,Raphael,Butler,The Silencer,"6' 3""",261 lbs.,--,,9,2,1,
449,JP,Buys,Young Savage,"5' 5""",135 lbs.,"67.0""",Orthodox,9,4,0,
450,Cheyanne,Buys,,"5' 3""",115 lbs.,"63.0""",Switch,6,2,0,
451,Dennis,Buzukja,The Great,"5' 9""",145 lbs.,"71.0""",Switch,4,2,0,
452,Charles,Byrd,Kid Dynamite,"5' 10""",185 lbs.,"73.0""",Orthodox,10,7,0,
453,Steve,Byrnes,The Sergeant,"6' 0""",170 lbs.,--,Orthodox,6,1,0,
454,Michael,Byrnes,,"5' 11""",155 lbs.,--,,5,3,0,
455,Yan,Cabral,,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,
456,Alvin,Cacdac,,"5' 6""",125 lbs.,--,Orthodox,18,13,0,
457,Alex,Caceres,Bruce Leeroy,"5' 10""",145 lbs.,"73.0""",Southpaw,18,12,0,
458,Vince,Cachero,The Anomaly,"5' 6""",145 lbs.,"68.0""",Orthodox,7,4,0,
459,Priscila,Cachoeira,Zombie Girl,"5' 7""",135 lbs.,"65.0""",Orthodox,10,3,0,
460,Travis,Calanoc,The Dark Knight,"5' 8""",145 lbs.,--,Orthodox,5,1,0,
461,Ricky,Calatayud,,"5' 9""",125 lbs.,--,,16,2,0,
462,Joanne,Calderwood,JoJo,"5' 6""",125 lbs.,"65.0""",Orthodox,15,6,0,
463,Darrion,Caldwell,The Wolf,"5' 10""",135 lbs.,--,,10,1,0,
464,Taylor,Callens,,"5' 10""",155 lbs.,--,,6,0,0,
465,Cynthia,Calvillo,,"5' 4""",125 lbs.,"64.0""",Orthodox,9,3,1,
466,Joe,Camacho,,"5' 9""",155 lbs.,--,Orthodox,13,19,3,
467,Frank,Camacho,The Crank,"5' 10""",170 lbs.,"73.0""",Orthodox,22,9,0,
468,Fabricio,Camoes,Morango,"5' 10""",155 lbs.,"71.0""",Orthodox,14,9,1,
469,Chris,Camozzi,,"6' 2""",185 lbs.,"75.0""",Orthodox,24,13,0,
470,Brian,Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,7,5,0,
471,Ricky,Camp,2 Slick,"5' 7""",135 lbs.,--,,11,4,0,
472,Mike,Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,13,4,0,
473,Thomas,Campbell,,--,--,--,,3,3,0,
474,Shane,Campbell,Shaolin,"6' 0""",155 lbs.,"71.0""",Orthodox,14,6,0,
475,John,Campetella,,"5' 9""",235 lbs.,--,Orthodox,0,1,0,
476,Wagner,Campos,Galeto,"5' 6""",145 lbs.,--,Southpaw,12,10,0,
477,Derek,Campos,The Stallion,"5' 9""",155 lbs.,--,,19,6,0,
478,Will,Campuzano,,"5' 9""",125 lbs.,"70.0""",Orthodox,14,6,0,
479,Aleksa,Camur,,"6' 1""",205 lbs.,"74.0""",Orthodox,6,2,0,
480,Chico,Camus,The King,"5' 6""",125 lbs.,"66.0""",Orthodox,17,7,0,
481,Asbel,Cancio,,"5' 10""",225 lbs.,--,,0,1,0,
482,Carlos,Candelario,The Cannon,"5' 8""",125 lbs.,"68.0""",Southpaw,8,1,0,
483,Ronaldo,Candido,Pacman,"5' 6""",125 lbs.,--,Southpaw,6,0,0,
484,Luiz,Cane,Banha,"6' 2""",185 lbs.,"77.0""",Southpaw,17,7,0,
485,Guido,Cannetti,Ninja,"5' 6""",135 lbs.,"68.0""",Southpaw,8,7,0,
486,Jared,Cannonier,The Killa Gorilla,"5' 11""",185 lbs.,"77.0""",Switch,14,5,0,
487,Jose,Canseco,,"6' 4""",240 lbs.,--,Orthodox,0,1,0,
488,Cody,Canterbury,,"5' 8""",155 lbs.,--,,1,10,0,
489,Bo,Cantrell,Redrum,"6' 2""",235 lbs.,--,Orthodox,10,10,0,
490,Steve,Cantwell,The Robot,"6' 2""",185 lbs.,"75.0""",Orthodox,7,6,0,
491,Paul,Capaldo,,"5' 7""",135 lbs.,--,,6,0,0,
492,Phil,Caracappa,The Hitman,"5' 8""",135 lbs.,"70.0""",Orthodox,6,1,0,
493,Frank,Caracci,,--,--,--,,2,3,0,
494,Gina,Carano,Conviction,"5' 8""",145 lbs.,--,Orthodox,7,1,0,
495,Dos,Caras Jr.,,"6' 4""",225 lbs.,--,Orthodox,9,5,0,
496,Bryan,Caraway,Kid Lightning,"5' 8""",135 lbs.,"68.0""",Orthodox,21,9,0,
497,Remo,Cardarelli,,--,135 lbs.,--,,7,5,0,
498,Phil,Cardella,,"5' 11""",155 lbs.,--,,8,5,0,
499,Edgar,Cardenas,Kitty Katt,--,145 lbs.,--,,4,1,0,
500,Chris,Cariaso,Kamikaze,"5' 3""",125 lbs.,"64.0""",Southpaw,17,8,0,
501,Ronald,Carillo,,--,125 lbs.,--,,4,2,0,
502,Rafael,Carino,,"6' 8""",245 lbs.,--,Orthodox,2,1,1,
503,Don,Carlo-Clauss,,--,170 lbs.,--,,10,7,0,
504,Antonio,Carlos Junior,Cara de Sapato,"6' 2""",185 lbs.,"79.0""",Orthodox,11,5,0,
505,Spike,Carlyle,Alpha Ginger,"5' 8""",145 lbs.,"71.0""",Switch,9,3,0,
506,Francis,Carmont,Limitless,"6' 3""",205 lbs.,"78.0""",Orthodox,25,12,0,
507,Liz,Carmouche,Girlrilla,"5' 6""",125 lbs.,"66.0""",Orthodox,13,7,0,
508,Roan,Carneiro,Jucao,"5' 11""",170 lbs.,"76.0""",Orthodox,21,11,0,
509,Ariane,Carnelossi,Sorriso,"5' 2""",115 lbs.,"61.0""",Orthodox,13,2,0,
510,Luana,Carolina,Dread,"5' 6""",125 lbs.,"69.0""",Orthodox,7,2,0,
511,Tim,Caron,The Bear,"6' 1""",185 lbs.,--,Orthodox,7,1,0,
512,Gabriel,Carrasco,,"5' 6""",135 lbs.,--,,7,0,0,
513,Cody,Carrillo,,"5' 10""",155 lbs.,--,,11,16,0,
514,Cain,Carrizosa,The Insane,"5' 8""",155 lbs.,--,Orthodox,10,3,0,
515,Roger,Carroll,The Leprechaun,"5' 10""",170 lbs.,--,,16,14,0,
516,Jonny,Carson,,"5' 10""",155 lbs.,--,,11,7,0,
517,Scott,Carson,,"6' 2""",215 lbs.,--,,4,2,0,
518,Shonie,Carter,Mr. International,"5' 10""",170 lbs.,--,Southpaw,51,31,7,
519,Bruno,Carvalho,,"5' 8""",154 lbs.,--,,10,5,0,
520,Antonio,Carvalho,Pato,"5' 9""",145 lbs.,"70.0""",Orthodox,15,6,0,
521,Rafael,Carvalho,,"6' 3""",185 lbs.,--,,14,1,0,
522,Shane,Carwin,The Engineer,"6' 2""",265 lbs.,"80.0""",Orthodox,12,2,0,
523,Johnny,Case,Hollywood,"5' 10""",155 lbs.,"72.0""",Orthodox,22,6,0,
524,Kevin,Casey,King,"5' 11""",185 lbs.,"77.0""",Southpaw,9,5,2,
525,Cortney,Casey,Cast Iron,"5' 7""",125 lbs.,"67.0""",Orthodox,9,9,0,
526,Brandon,Cash,Money,"6' 5""",255 lbs.,--,Orthodox,10,4,0,
527,Bendy,Casimir,,"5' 5""",145 lbs.,--,Southpaw,20,14,2,
528,Dwayne,Cason,,"5' 10""",212 lbs.,--,Orthodox,1,1,0,
529,Joe,Cason,,"6' 3""",205 lbs.,--,,9,1,0,
530,John,Castaneda,Sexy Mexi,"5' 6""",135 lbs.,"71.0""",Switch,18,5,0,
531,Eric,Castile,,"5' 8""",145 lbs.,--,,3,2,0,
532,Gil,Castillo,,"5' 9""",170 lbs.,--,Southpaw,8,5,0,
533,Danny,Castillo,Last Call,"5' 9""",155 lbs.,"71.0""",Orthodox,17,10,0,
534,Raul,Castillo,,"5' 11""",185 lbs.,--,Orthodox,7,1,0,
535,Jenna,Castillo,,"5' 2""",125 lbs.,--,,1,0,0,
536,Tim,Catalfo,Obake,"5' 11""",235 lbs.,--,Orthodox,4,2,0,
537,Nick,Catone,The Jersey Devil,"6' 0""",185 lbs.,"72.0""",Southpaw,10,4,0,
538,Luke,Caudillo,Lil' Hulk,"5' 7""",155 lbs.,--,Orthodox,17,17,0,
539,Gesias,Cavalcante,JZ,"5' 8""",155 lbs.,"71.0""",Orthodox,21,10,1,
540,Rafael,Cavalcante,Feijao,"6' 1""",205 lbs.,"74.0""",Orthodox,12,7,0,
541,Magnus,Cedenblad,Jycken,"6' 5""",185 lbs.,"79.0""",Orthodox,14,5,0,
542,Yosdenis,Cedeno,Pink Panther,"5' 8""",155 lbs.,"69.0""",Orthodox,10,6,1,
543,Henry,Cejudo,The Messenger,"5' 4""",135 lbs.,"64.0""",Orthodox,16,2,0,
544,Adam,Cella,El Naturel,"6' 2""",170 lbs.,--,,6,8,0,
545,Donald,Cerrone,Cowboy,"6' 1""",170 lbs.,"73.0""",Orthodox,36,16,0,
546,Jared,Chaffee,,"5' 10""",155 lbs.,--,,5,2,0,
547,Luan,Chagas,Tarzan,"6' 0""",170 lbs.,"75.0""",Orthodox,15,3,1,
548,Ansar,Chalangov,,"5' 9""",170 lbs.,--,Orthodox,14,5,0,
549,Alex,Chambers,Astro Girl,"5' 3""",115 lbs.,"63.0""",Southpaw,5,5,0,
550,Michael,Chandler,Iron,"5' 8""",155 lbs.,"71.0""",Orthodox,22,6,0,
551,Donnie,Chappell,,"5' 11""",178 lbs.,--,Southpaw,0,1,0,
552,Joe,Charles,The Ghetto Man,"6' 1""",260 lbs.,--,Southpaw,6,13,0,
553,Dan,Charles,The Man,"6' 2""",228 lbs.,--,,10,6,1,
554,Ernest,Chavez,EJ,"5' 8""",145 lbs.,"70.0""",Orthodox,10,2,0,
555,Emilio,Chavez,,"5' 9""",145 lbs.,--,,12,9,0,
556,Danny,Chavez,The Colombian Warrior,"5' 8""",145 lbs.,"67.0""",Orthodox,11,4,1,
557,Gabriel,Checco,Zangief,"6' 1""",185 lbs.,--,Switch,10,2,0,
558,Albert,Cheng,,"5' 11""",170 lbs.,--,Orthodox,7,4,0,
559,Fabio,Cherant,Water Buffalo,"6' 1""",205 lbs.,"74.0""",Southpaw,7,3,0,
560,Ion,Cherdivara,,--,205 lbs.,--,,1,1,0,
561,Mark,Cherico,The Pride of Bloomfield,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,
562,Macy,Chiasson,,"5' 11""",135 lbs.,"72.0""",Orthodox,8,1,0,
563,Michael,Chiesa,Maverick,"6' 1""",170 lbs.,"75.0""",Southpaw,18,5,0,
564,Giga,Chikadze,Ninja,"6' 0""",145 lbs.,"74.0""",Orthodox,14,2,0,
565,Khamzat,Chimaev,Borz,"6' 2""",170 lbs.,"75.0""",Orthodox,9,0,0,
566,Sako,Chivitchian,,"5' 11""",155 lbs.,--,,8,1,0,
567,Mu Bae,Choi,,"6' 2""",230 lbs.,--,Orthodox,12,6,0,
568,Hong Man,Choi,Techno Goliath,"7' 2""",330 lbs.,--,Orthodox,4,5,0,
569,Dooho,Choi,The Korean Superboy,"5' 10""",145 lbs.,"70.0""",Orthodox,14,4,0,
570,SeungWoo,Choi,Sting,"6' 0""",145 lbs.,"74.0""",Orthodox,10,3,0,
571,John,Cholish,,"5' 11""",155 lbs.,"74.0""",Orthodox,8,3,0,
572,Ryo,Chonan,Piranah,"5' 9""",170 lbs.,"70.0""",Orthodox,22,13,0,
573,Katlyn,Chookagian,Blonde Fighter,"5' 9""",125 lbs.,"68.0""",Orthodox,16,4,0,
574,Will,Chope,The Kill,"6' 4""",145 lbs.,--,Switch,34,13,0,
575,Joachim,Christensen,,"6' 3""",205 lbs.,"76.0""",Orthodox,14,6,0,
576,Dan,Christison,The Sandman,"6' 8""",265 lbs.,--,Orthodox,20,7,0,
577,Anthony,Christodoulou,,"5' 9""",155 lbs.,--,Orthodox,12,7,0,
578,Murad,Chunkaiev,,"5' 11""",185 lbs.,--,Orthodox,8,4,0,
579,Cameron,Church,,"5' 11""",155 lbs.,"72.0""",Orthodox,4,1,0,
580,Steven,Ciaccio,Stryker,"6' 0""",170 lbs.,--,,4,4,0,
581,Mike,Ciesnolevicz,,"6' 0""",235 lbs.,--,Orthodox,19,4,0,
582,Hannah,Cifers,Shockwave,"5' 1""",115 lbs.,"62.0""",Orthodox,10,7,0,
583,Branko,Cikatic,,"6' 1""",215 lbs.,--,Orthodox,0,2,0,
584,Nikolajus,Cilkinas,,--,--,--,Orthodox,2,6,0,
585,Misha,Cirkunov,,"6' 3""",205 lbs.,"77.0""",Orthodox,15,7,0,
586,Johnny,Cisneros,The Tattooed Terror,"5' 11""",170 lbs.,--,,9,6,0,
587,Laverne,Clark,,"5' 11""",170 lbs.,--,Orthodox,27,21,1,
588,Logan,Clark,,"6' 2""",185 lbs.,--,Orthodox,18,6,0,
589,Mychal,Clark,,"6' 3""",224 lbs.,--,Orthodox,10,14,0,
590,Dominic,Clark,,"5' 10""",155 lbs.,--,,10,7,0,
591,Heather,Clark,Hurricane,"5' 6""",115 lbs.,"64.0""",Orthodox,7,6,0,
592,Devin,Clark,Brown Bear,"6' 0""",205 lbs.,"75.0""",Orthodox,12,6,0,
593,Jessica-Rose,Clark,,"5' 5""",125 lbs.,"64.0""",Orthodox,10,6,0,
594,John,Clarke,,--,170 lbs.,--,,1,1,0,
595,Mitch,Clarke,Danger Zone,"5' 10""",155 lbs.,"73.0""",Orthodox,11,5,0,
596,Rich,Clementi,No Love,"5' 9""",155 lbs.,"72.0""",Southpaw,45,23,1,
597,Chris,Clements,The Menace,"5' 10""",170 lbs.,"70.0""",Orthodox,12,6,0,
598,RJ,Clifford,,--,160 lbs.,--,,4,3,0,
599,Josh,Clopton,The Gentleman,"5' 6""",145 lbs.,--,Orthodox,6,2,1,
600,Brian,Cobb,,"5' 11""",155 lbs.,--,Orthodox,20,9,0,
601,Darryl,Cobb,,"5' 9""",185 lbs.,--,,6,8,0,
602,Dave,Cochran,,"5' 6""",155 lbs.,--,,26,29,1,
603,Dakota,Cochrane,,"5' 8""",155 lbs.,--,,29,12,0,
604,Marloes,Coenen,,"5' 9""",145 lbs.,"67.0""",,23,8,0,
605,Marc,Cofer,,--,185 lbs.,--,,7,5,0,
606,John,Cofer,The Potter,"5' 9""",155 lbs.,--,Southpaw,8,4,0,
607,Chris,Coggins,,--,--,--,,7,10,0,
608,Felipe,Colares,Cabocao,"5' 8""",135 lbs.,"69.0""",Orthodox,10,2,0,
609,Wayne,Cole,,"6' 1""",205 lbs.,--,Orthodox,16,25,0,
610,Devin,Cole,,"6' 4""",240 lbs.,--,Orthodox,20,10,1,
611,Coltin,Cole,,--,185 lbs.,--,,4,5,0,
612,Ivan,Cole,JP,"5' 9""",135 lbs.,--,,2,3,0,
613,Mark,Coleman,The Hammer,"6' 1""",205 lbs.,"75.0""",Orthodox,16,10,0,
614,Cortez,Coleman,Hollywood,"6' 1""",185 lbs.,--,,13,8,0,
615,Clay,Collard,Cassius,"5' 11""",145 lbs.,"73.0""",Orthodox,14,7,0,
616,Jamie,Colleen,,"5' 3""",115 lbs.,"65.0""",Orthodox,4,1,0,
617,Jake,Collier,The Prototype,"6' 3""",230 lbs.,"78.0""",Orthodox,12,6,0,
618,Christian,Colombo,,"6' 5""",265 lbs.,--,Orthodox,8,3,1,
619,Wes,Combs,The Soldier,"6' 2""",205 lbs.,--,Orthodox,20,6,0,
620,Carlos,Condit,The Natural Born Killer,"6' 2""",170 lbs.,"75.0""",Orthodox,32,14,0,
